,0,1
1,-44.3482551574707,3
2,-79.46805095672607,3
3,-113.04227113723755,3
4,-147.5983350276947,3
5,-182.52258014678955,3
6,-215.68050003051758,3
7,-255.96895694732666,3
8,-292.16803312301636,3
9,-325.6644802093506,3
10,-368.84859919548035,3
11,-414.90817308425903,3
12,-465.11616015434265,3
13,-508.2611541748047,3
14,-546.922042131424,3
15,-581.9865889549255,3
16,-616.674868106842,3
17,-651.442702293396,3
18,-686.1264021396637,3
19,-719.8607821464539,3
20,-753.9684422016144,3
21,-787.8832352161407,3
22,-821.0424473285675,3
23,-854.9577190876007,3
24,-888.2284681797028,3
25,-921.6802470684052,3
26,-956.3916070461273,3
27,-990.7435410022736,3
28,-1024.86732006073,3
29,-1059.0410718917847,3
30,-1093.167963027954,3
