,0,1
1,-253.92428970336914,8
2,-318.17267990112305,15
3,-378.36568784713745,16
4,-418.4119699001312,16
5,-468.43552589416504,16
6,-517.8900349140167,17
7,-564.1168649196625,18
8,-605.4516608715057,18
9,-672.114620923996,18
10,-714.2351870536804,18
11,-768.1432018280029,21
12,-809.8286941051483,21
13,-852.9712269306183,21
14,-903.4974238872528,22
15,-943.5727679729462,22
16,-989.0361280441284,23
17,-1042.841562986374,25
18,-1094.8502049446106,25
19,-1133.9514870643616,25
20,-1176.537978887558,26
21,-1214.619563817978,26
22,-1260.9859347343445,27
23,-1302.377005815506,27
24,-1358.55157995224,29
25,-1395.6087789535522,29
26,-1434.4860618114471,29
27,-1488.5974349975586,31
28,-1547.7866599559784,31
29,-1601.6759259700775,32
30,-1644.5071020126343,32
